Email;Klasse;Vorname;Nachname
Iris.Ware@gmg.amberg.de;5a;Iris; Ware
Ignacio.Ware@gmg.amberg.de;5a;Ignacio; Ware
Lilliana.Ramos@gmg.amberg.de;5a;Lilliana; Ramos
Carter.Blanchard@gmg.amberg.de;5a;Carter; Blanchard
Darion.Zhang@gmg.amberg.de;5a;Darion; Zhang
Valery.Williamson@gmg.amberg.de;5a;Valery; Williamson
Jaxon.Monroe@gmg.amberg.de;5a;Jaxon; Monroe
Guillermo.Mosley@gmg.amberg.de;5a;Guillermo; Mosley
Ireland.Sherman@gmg.amberg.de;5a;Ireland; Sherman
Mckenzie.Jacobson@gmg.amberg.de;5a;Mckenzie; Jacobson
Marely.Ortega@gmg.amberg.de;5a;Marely; Ortega
Axel.Raymond@gmg.amberg.de;5a;Axel; Raymond
Kaylee.Johnson@gmg.amberg.de;5a;Kaylee; Johnson
Jewel.Keith@gmg.amberg.de;5a;Jewel; Keith
Yesenia.Austin@gmg.amberg.de;5a;Yesenia; Austin
Dario.Mcpherson@gmg.amberg.de;5a;Dario; Mcpherson
Dylan.Holden@gmg.amberg.de;5a;Dylan; Holden
Arabella.Wilkerson@gmg.amberg.de;5b;Arabella; Wilkerson
Shelby.Duffy@gmg.amberg.de;5b;Shelby; Duffy
Justice.Yang@gmg.amberg.de;5b;Justice; Yang
Davian.Joseph@gmg.amberg.de;5b;Davian; Joseph
Bridger.Richmond@gmg.amberg.de;5b;Bridger; Richmond
Yasmin.Landry@gmg.amberg.de;5b;Yasmin; Landry
Kelly.Dorsey@gmg.amberg.de;5b;Kelly; Dorsey
Alden.Stuart@gmg.amberg.de;5b;Alden; Stuart
Sonia.Logan@gmg.amberg.de;5b;Sonia; Logan
Arthur.Hayes@gmg.amberg.de;5b;Arthur; Hayes
Finnegan.Boyer@gmg.amberg.de;5b;Finnegan; Boyer
Jayla.Walters@gmg.amberg.de;5b;Jayla; Walters
Cynthia.Montes@gmg.amberg.de;5b;Cynthia; Montes
Darwin.Gallagher@gmg.amberg.de;5b;Darwin; Gallagher
Jeramiah.Ibarra@gmg.amberg.de;6a;Jeramiah; Ibarra
Aria.Sutton@gmg.amberg.de;6a;Aria; Sutton
Reuben.Gonzalez@gmg.amberg.de;6a;Reuben; Gonzalez
Dax.Gaines@gmg.amberg.de;6a;Dax; Gaines
Jadon.Briggs@gmg.amberg.de;6a;Jadon; Briggs
Felix.Pruitt@gmg.amberg.de;6a;Felix; Pruitt
Jamie.English@gmg.amberg.de;6a;Jamie; English
Rayan.Hill@gmg.amberg.de;6a;Rayan; Hill
Mina.Bennett@gmg.amberg.de;6a;Mina; Bennett
Zaid.Phelps@gmg.amberg.de;6a;Zaid; Phelps
Shane.Mckinney@gmg.amberg.de;6a;Shane; Mckinney
Zaria.Doyle@gmg.amberg.de;6b;Zaria; Doyle
Brandon.Mckay@gmg.amberg.de;6b;Brandon; Mckay
Jovani.Conley@gmg.amberg.de;6b;Jovani; Conley
Rashad.Crawford@gmg.amberg.de;6b;Rashad; Crawford
Emerson.White@gmg.amberg.de;6b;Emerson; White
Zaire.Turner@gmg.amberg.de;6b;Zaire; Turner
Devyn.Benson@gmg.amberg.de;6b;Devyn; Benson
Itzel.Blackburn@gmg.amberg.de;6b;Itzel; Blackburn
Jermaine.Lin@gmg.amberg.de;6b;Jermaine; Lin
Jada.Gomez@gmg.amberg.de;6b;Jada; Gomez
Houston.Stevens@gmg.amberg.de;6b;Houston; Stevens
Shiloh.Galvan@gmg.amberg.de;6b;Shiloh; Galvan
Kaiden.Mcintosh@gmg.amberg.de;6b;Kaiden; Mcintosh
Cheyenne.Hampton@gmg.amberg.de;7a;Cheyenne; Hampton
Jakob.Holland@gmg.amberg.de;7a;Jakob; Holland
Ryan.Luna@gmg.amberg.de;7a;Ryan; Luna
Ahmad.Norman@gmg.amberg.de;7a;Ahmad; Norman
Kaylynn.Pratt@gmg.amberg.de;7a;Kaylynn; Pratt
Mira.Dennis@gmg.amberg.de;7a;Mira; Dennis
Mason.Nunez@gmg.amberg.de;7a;Mason; Nunez
Mekhi.Ellison@gmg.amberg.de;7a;Mekhi; Ellison
Jairo.Sanders@gmg.amberg.de;7a;Jairo; Sanders
Arturo.Howe@gmg.amberg.de;7a;Arturo; Howe
Cael.Hill@gmg.amberg.de;7a;Cael; Hill
Alondra.Wall@gmg.amberg.de;7a;Alondra; Wall
Miguel.Reese@gmg.amberg.de;7b;Miguel; Reese
Ahmad.Wise@gmg.amberg.de;7b;Ahmad; Wise
Adeline.Kemp@gmg.amberg.de;7b;Adeline; Kemp
Abby.Hernandez@gmg.amberg.de;7b;Abby; Hernandez
Boston.Campos@gmg.amberg.de;7b;Boston; Campos
Edward.Fry@gmg.amberg.de;7b;Edward; Fry
Kassandra.Young@gmg.amberg.de;7b;Kassandra; Young
Gideon.Flores@gmg.amberg.de;7b;Gideon; Flores
Mylie.Deleon@gmg.amberg.de;7b;Mylie; Deleon
Nigel.Chung@gmg.amberg.de;7b;Nigel; Chung
Natalia.Gillespie@gmg.amberg.de;7b;Natalia; Gillespie
Kailey.Dillon@gmg.amberg.de;7b;Kailey; Dillon
Quinn.Wilkins@gmg.amberg.de;8a;Quinn; Wilkins
Theresa.Odonnell@gmg.amberg.de;8a;Theresa; Odonnell
Makayla.Thompson@gmg.amberg.de;8a;Makayla; Thompson
Luka.Kirk@gmg.amberg.de;8a;Luka; Kirk
Kellen.Ortiz@gmg.amberg.de;8a;Kellen; Ortiz
Carter.Glenn@gmg.amberg.de;8a;Carter; Glenn
Tamia.Salazar@gmg.amberg.de;8a;Tamia; Salazar
Arianna.Rivera@gmg.amberg.de;8a;Arianna; Rivera
Davion.Montgomery@gmg.amberg.de;8a;Davion; Montgomery
Nico.Henson@gmg.amberg.de;8a;Nico; Henson
